model,condition,slice,n,parse_ok,attribution_correct,model_says_provable,arm4_grounding_pass,arm5_capacity_pass,capacity_violation,missed_by_grounding,violation_fail,violation_undefined,violation_unknown_id,violation_grounding_invisible,capacity_violation_remapped,grounding_invisible_remapped,attribution_remapped
deepseek-v4-flash,bare,overall,271,0.9742,0.0554,0.6199,0.4022,0.155,0.5166,0.0221,0.1144,0.107,0.2952,0.2214,0.5166,0.4059,0.0886
deepseek-v4-flash,bare,correct,15,1.0,1.0,1.0,0.0,0.2,0.8,0.0,0.6,0.2,0.0,0.8,0.8,0.8,1.0
deepseek-v4-flash,bare,noleak,205,0.9707,0.0439,0.5902,0.4244,0.1805,0.4732,0.0146,0.0829,0.1122,0.278,0.1951,0.4732,0.361,0.0634
deepseek-v4-flash,bare,checkable,228,0.9693,0.0526,0.6096,0.4035,0.1754,0.4912,0.0132,0.1228,0.0614,0.307,0.1842,0.4912,0.3684,0.0921
gemma-4-26b-moe,bare,overall,271,0.9262,0.1734,0.8598,0.3542,0.0295,0.8303,0.214,0.5166,0.107,0.2066,0.6236,0.8303,0.7601,0.1919
gemma-4-26b-moe,bare,correct,47,1.0,1.0,1.0,0.1702,0.0851,0.9149,0.1702,0.8511,0.0638,0.0,0.9149,0.9149,0.9149,1.0
gemma-4-26b-moe,bare,noleak,205,0.9171,0.1659,0.8439,0.361,0.039,0.8049,0.2049,0.5317,0.0976,0.1756,0.6293,0.8049,0.7463,0.1707
gemma-4-26b-moe,bare,checkable,228,0.9211,0.193,0.8553,0.3553,0.0351,0.8202,0.2105,0.5307,0.0833,0.2061,0.614,0.8202,0.7412,0.2149
qwen3.8-27b,bare,overall,271,0.9742,0.0037,0.8524,0.9963,0.0037,0.8487,0.845,0.2915,0.0148,0.5424,0.3063,0.8487,0.31,0.0037
qwen3.8-27b,bare,correct,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
qwen3.8-27b,bare,noleak,205,0.9756,0.0,0.8439,0.9951,0.0049,0.839,0.8341,0.2732,0.0146,0.5512,0.2878,0.839,0.2927,0.0
qwen3.8-27b,bare,checkable,228,0.9737,0.0044,0.8728,0.9956,0.0,0.8728,0.8684,0.3114,0.0175,0.5439,0.3289,0.8728,0.3333,0.0044
deepseek-v4-flash,instrumented,overall,271,1.0,0.048,0.1144,1.0,0.1845,0.0775,0.0775,0.0074,0.0332,0.0369,0.0406,0.0775,0.0738,0.0812
deepseek-v4-flash,instrumented,correct,13,1.0,1.0,0.3077,1.0,0.2308,0.1538,0.1538,0.0769,0.0769,0.0,0.1538,0.1538,0.1538,1.0
deepseek-v4-flash,instrumented,noleak,205,1.0,0.0341,0.1122,1.0,0.2098,0.0683,0.0683,0.0,0.0293,0.039,0.0293,0.0683,0.0634,0.0537
deepseek-v4-flash,instrumented,checkable,228,1.0,0.0482,0.114,1.0,0.1974,0.0746,0.0746,0.0088,0.0307,0.0351,0.0395,0.0746,0.0746,0.0877
gemma-4-26b-moe,instrumented,overall,271,0.9631,0.1587,0.6753,1.0,0.0332,0.6421,0.6421,0.4096,0.1107,0.1218,0.5203,0.6421,0.5793,0.1771
gemma-4-26b-moe,instrumented,correct,43,1.0,1.0,0.6977,1.0,0.1163,0.5814,0.5814,0.5581,0.0233,0.0,0.5814,0.5814,0.5814,1.0
gemma-4-26b-moe,instrumented,noleak,205,0.9707,0.1463,0.6927,1.0,0.0439,0.6488,0.6488,0.4293,0.1024,0.1171,0.5317,0.6488,0.5951,0.1512
gemma-4-26b-moe,instrumented,checkable,228,0.9605,0.1842,0.6579,1.0,0.0395,0.6184,0.6184,0.4211,0.0921,0.1053,0.5132,0.6184,0.557,0.2061
qwen3.8-27b,instrumented,overall,271,0.9668,0.0148,0.4096,1.0,0.0,0.4096,0.4096,0.1624,0.0221,0.2251,0.1845,0.4096,0.1882,0.0148
qwen3.8-27b,instrumented,correct,4,1.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,1.0
qwen3.8-27b,instrumented,noleak,205,0.961,0.0146,0.4098,1.0,0.0,0.4098,0.4098,0.161,0.0195,0.2293,0.1805,0.4098,0.1805,0.0146
qwen3.8-27b,instrumented,checkable,228,0.9605,0.0175,0.4474,1.0,0.0,0.4474,0.4474,0.1754,0.0263,0.2456,0.2018,0.4474,0.2018,0.0175
