model,condition,slice,n,parse_ok,attribution_correct,model_says_provable,arm4_grounding_pass,arm5_capacity_pass,capacity_violation,missed_by_grounding,violation_fail,violation_undefined,violation_unknown_id,violation_grounding_invisible,capacity_violation_remapped,grounding_invisible_remapped,attribution_remapped
deepseek-v4-flash,bare,overall,271,0.9926,0.0554,0.5978,0.4207,0.1624,0.4945,0.0185,0.1107,0.1107,0.2731,0.2214,0.4945,0.3727,0.0886
deepseek-v4-flash,bare,correct,15,1.0,1.0,0.9333,0.1333,0.2,0.7333,0.0667,0.6,0.1333,0.0,0.7333,0.7333,0.7333,1.0
deepseek-v4-flash,bare,noleak,205,0.9902,0.0439,0.5707,0.4488,0.1756,0.4634,0.0195,0.0829,0.1268,0.2537,0.2098,0.4634,0.3415,0.0634
deepseek-v4-flash,bare,checkable,228,0.9912,0.0526,0.6009,0.4035,0.1842,0.4825,0.0044,0.1053,0.0789,0.2982,0.1842,0.4825,0.3465,0.0921
gemma-4-26b-moe,bare,overall,271,0.9299,0.1734,0.8782,0.3653,0.0332,0.845,0.2435,0.5277,0.1181,0.1993,0.6458,0.845,0.7786,0.1919
gemma-4-26b-moe,bare,correct,47,1.0,1.0,1.0,0.2553,0.0851,0.9149,0.2553,0.8511,0.0638,0.0,0.9149,0.9149,0.9149,1.0
gemma-4-26b-moe,bare,noleak,205,0.9268,0.1659,0.8683,0.3707,0.0439,0.8244,0.239,0.5512,0.1073,0.1659,0.6585,0.8244,0.7707,0.1707
gemma-4-26b-moe,bare,checkable,228,0.9254,0.193,0.8728,0.3728,0.0395,0.8333,0.2456,0.5395,0.1009,0.193,0.6404,0.8333,0.7588,0.2149
qwen3.8-27b,bare,overall,271,0.9631,0.0037,0.8413,0.9963,0.0,0.8413,0.8376,0.2841,0.0148,0.5424,0.2989,0.8413,0.3026,0.0037
qwen3.8-27b,bare,correct,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
qwen3.8-27b,bare,noleak,205,0.9561,0.0,0.839,0.9951,0.0,0.839,0.8341,0.2732,0.0146,0.5512,0.2878,0.839,0.2927,0.0
qwen3.8-27b,bare,checkable,228,0.9605,0.0044,0.8509,0.9956,0.0,0.8509,0.8465,0.2982,0.0175,0.5351,0.3158,0.8509,0.3202,0.0044
deepseek-v4-flash,instrumented,overall,271,1.0,0.0627,0.1402,1.0,0.1734,0.0886,0.0886,0.0148,0.0332,0.0406,0.048,0.0886,0.0849,0.0959
deepseek-v4-flash,instrumented,correct,17,1.0,1.0,0.2353,1.0,0.1765,0.1176,0.1176,0.0588,0.0588,0.0,0.1176,0.1176,0.1176,1.0
deepseek-v4-flash,instrumented,noleak,205,1.0,0.0488,0.1512,1.0,0.1902,0.0878,0.0878,0.0098,0.0341,0.0439,0.0439,0.0878,0.0829,0.0683
deepseek-v4-flash,instrumented,checkable,228,1.0,0.0658,0.136,1.0,0.1798,0.0789,0.0789,0.0132,0.0219,0.0439,0.0351,0.0789,0.0746,0.1053
gemma-4-26b-moe,instrumented,overall,271,0.9668,0.155,0.679,1.0,0.0295,0.6494,0.6494,0.417,0.1144,0.1181,0.5314,0.6494,0.5867,0.1734
gemma-4-26b-moe,instrumented,correct,42,1.0,1.0,0.6905,1.0,0.0952,0.5952,0.5952,0.5714,0.0238,0.0,0.5952,0.5952,0.5952,1.0
gemma-4-26b-moe,instrumented,noleak,205,0.9707,0.1415,0.6976,1.0,0.039,0.6585,0.6585,0.4439,0.1024,0.1122,0.5463,0.6585,0.6049,0.1463
gemma-4-26b-moe,instrumented,checkable,228,0.9605,0.1798,0.6579,1.0,0.0351,0.6228,0.6228,0.4298,0.0965,0.0965,0.5263,0.6228,0.5658,0.2018
qwen3.8-27b,instrumented,overall,271,0.9631,0.0111,0.4059,1.0,0.0,0.4059,0.4059,0.1661,0.0221,0.2177,0.1882,0.4059,0.1919,0.0111
qwen3.8-27b,instrumented,correct,3,1.0,1.0,0.6667,1.0,0.0,0.6667,0.6667,0.6667,0.0,0.0,0.6667,0.6667,0.6667,1.0
qwen3.8-27b,instrumented,noleak,205,0.9659,0.0098,0.4049,1.0,0.0,0.4049,0.4049,0.161,0.0195,0.2244,0.1805,0.4049,0.1805,0.0098
qwen3.8-27b,instrumented,checkable,228,0.9561,0.0132,0.443,1.0,0.0,0.443,0.443,0.1711,0.0263,0.2456,0.1974,0.443,0.1974,0.0132
