item,actor,gold_id,gold_name,gold_checkable,name_leak,claimed_id,attribution_correct,model_says_provable,n_cited,arm4_grounding_pass,arm5_capacity_pass,arm5_outcome,capacity_violation,missed_by_grounding,missing,condition,model
P001,FrostyGoop Incident,T0836,Modify Parameter,True,True,T0836,True,True,1,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P002,FrostyGoop Incident,T1693.001,System Firmware,True,True,T0857,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P003,FrostyGoop Incident,T0829,Loss of View,False,False,T0857,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P004,FrostyGoop Incident,T0826,Loss of Availability,False,False,T0836,False,True,1,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P005,Triton Safety Instrumented System Attack,T0830,Adversary-in-the-Middle,True,False,T0831,False,False,0,True,False,undefined,False,False,,instrumented,gemma-4-26b-moe
P006,Triton Safety Instrumented System Attack,T0807,Command-Line Interface,True,False,T0846,False,True,1,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P007,Triton Safety Instrumented System Attack,T0853,Scripting,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P008,Triton Safety Instrumented System Attack,T0828,Loss of Productivity and Revenue,False,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P009,Triton Safety Instrumented System Attack,T0843.003,Program Append,True,True,T0833,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P010,Triton Safety Instrumented System Attack,T0872,Indicator Removal on Host,True,False,T0833,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P011,Triton Safety Instrumented System Attack,T0859,Valid Accounts,True,False,T0834,False,True,1,True,False,fail,True,True,OS API Execution,instrumented,gemma-4-26b-moe
P012,Triton Safety Instrumented System Attack,T0867,Lateral Tool Transfer,True,False,T0843,False,False,0,True,False,fail,False,False,Application Log Content,instrumented,gemma-4-26b-moe
P013,Triton Safety Instrumented System Attack,T0886,Remote Services,True,True,T0866,False,True,2,True,False,fail,True,True,Application Log Content,instrumented,gemma-4-26b-moe
P014,2015 Ukraine Electric Power Attack,T0822,External Remote Services,True,False,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P015,2015 Ukraine Electric Power Attack,T0884,Connection Proxy,True,False,T0883,False,True,2,True,False,fail,True,True,Logon Session Metadata,instrumented,gemma-4-26b-moe
P016,2015 Ukraine Electric Power Attack,T0859,Valid Accounts,True,True,T0859,True,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,gemma-4-26b-moe
P017,2015 Ukraine Electric Power Attack,T0886,Remote Services,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P018,2015 Ukraine Electric Power Attack,T0828,Loss of Productivity and Revenue,False,False,T0855,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P019,2015 Ukraine Electric Power Attack,T0831,Manipulation of Control,False,False,T0827,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P020,2015 Ukraine Electric Power Attack,T1693.001,System Firmware,True,True,T0857,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P021,2015 Ukraine Electric Power Attack,T0885,Commonly Used Port,True,False,T0869,False,True,2,True,True,pass,False,False,,instrumented,gemma-4-26b-moe
P022,2015 Ukraine Electric Power Attack,T1695.001,Serial COM,True,True,T0857,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P023,2015 Ukraine Electric Power Attack,T0814,Denial of Service,True,True,T0857,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P024,2015 Ukraine Electric Power Attack,T0867,Lateral Tool Transfer,True,False,T0834,False,True,2,True,False,fail,True,True,OS API Execution,instrumented,gemma-4-26b-moe
P025,2015 Ukraine Electric Power Attack,T0816,Device Restart/Shutdown,True,False,T0855,False,True,1,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P026,2015 Ukraine Electric Power Attack,T0823,Graphical User Interface,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P027,2015 Ukraine Electric Power Attack,T0813,Denial of Control,False,False,T0855,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P028,2015 Ukraine Electric Power Attack,T0846,Remote System Discovery,True,True,T0846,True,True,2,True,False,fail,True,True,File Access; Process Creation,instrumented,gemma-4-26b-moe
P029,2015 Ukraine Electric Power Attack,T1691.001,Command Message,True,True,T0839,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P030,2015 Ukraine Electric Power Attack,T0827,Loss of Control,False,False,T0829,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P031,2015 Ukraine Electric Power Attack,T1691.002,Reporting Message,True,True,T0839,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
P032,2015 Ukraine Electric Power Attack,T0826,Loss of Availability,False,False,T0855,False,True,2,True,False,unknown-technique,True,True,,instrumented,gemma-4-26b-moe
P033,Maroochy Water Breach,T1692.002,Reporting Message,True,False,T0831,False,True,2,True,False,undefined,True,True,,instrumented,gemma-4-26b-moe
P034,Maroochy Water Breach,T0822,External Remote Services,True,False,T0822,True,True,2,True,False,fail,True,True,Application Log Content; Logon Session Metadata,instrumented,gemma-4-26b-moe
P035,Maroochy Water Breach,T0838,Modify Alarm Settings,True,False,T0802,False,True,2,True,False,fail,True,True,Command Execution; File Access; Script Execution,instrumented,gemma-4-26b-moe
P036,Maroochy Water Breach,T0864,Transient Cyber Asset,True,False,T0812,False,False,0,True,False,unknown-technique,False,False,,instrumented,gemma-4-26b-moe
